order_id,order_date,sku,product_name,tier,quantity,unit_price_usd,order_total_usd,warehouse,carrier,tracking_number,ship_date,estimated_delivery_date,actual_delivery_date,on_time,shipping_cost_usd,packaging_type,region,state,delivery_status,return_initiated
ORD-0001,2026-02-20,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z675802576623719,2026-02-23,2026-03-04,2026-03-04,Yes,54.64,pallet,Northeast,CT,out_for_delivery,No
ORD-0002,2026-02-25,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-ORD,UPS Ground,1Z660850007453473,2026-02-28,2026-03-05,2026-03-03,Yes,25.67,double_wall_box,Southeast,VA,delivered,No
ORD-0003,2026-01-06,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-DFW,UPS Ground,1Z654157157096197,2026-01-07,2026-01-11,2026-01-14,No,75.87,pallet,Midwest,WI,delivered,No
ORD-0004,2026-01-16,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z234135758287871,2026-01-18,2026-01-21,2026-01-25,No,20.43,pallet,Northeast,MA,delivered,No
ORD-0005,2026-03-04,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ATL,UPS Ground,1Z251420921781795,2026-03-07,2026-03-14,2026-03-17,No,30.64,pallet,West,CA,delivered,No
ORD-0006,2026-01-25,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-JFK,UPS Ground,1Z656972490200955,2026-01-27,2026-02-01,2026-02-03,No,22.29,double_wall_box,Northeast,CT,delivered,No
ORD-0007,2026-03-23,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ORD,FedEx Freight,1Z757489665684680,2026-03-26,2026-03-29,2026-03-28,Yes,82.44,flat_box,Midwest,IL,exception,No
ORD-0008,2026-02-10,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-ORD,UPS Ground,1Z767130020610363,2026-02-11,2026-02-17,2026-02-16,Yes,36.07,flat_box,Midwest,MN,in_transit,No
ORD-0009,2026-02-13,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-DFW,UPS Ground,1Z679569621643143,2026-02-14,2026-02-24,2026-02-27,No,84.48,pallet,West,AZ,delivered,Yes
ORD-0010,2026-02-06,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-JFK,FedEx Freight,1Z649845184970085,2026-02-09,2026-02-18,2026-02-18,Yes,62.09,flat_box,West,OR,delivered,No
ORD-0011,2026-02-08,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-DFW,UPS Ground,1Z986253505419238,2026-02-10,2026-02-16,2026-02-17,No,66.93,flat_box,Northeast,MA,returned,No
ORD-0012,2026-02-03,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-LAX,UPS Ground,1Z766377467754050,2026-02-04,2026-02-08,2026-02-11,No,83.0,pallet,Midwest,WI,delivered,Yes
ORD-0013,2025-12-15,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z846986866423998,2025-12-16,2025-12-23,2025-12-25,No,79.92,double_wall_box,Southwest,CO,exception,No
ORD-0014,2026-01-27,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z749468575810563,2026-01-30,2026-02-04,2026-02-02,Yes,66.34,pallet,Northeast,CT,delivered,No
ORD-0015,2026-03-01,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-JFK,UPS Ground,1Z871589785666644,2026-03-03,2026-03-13,2026-03-12,Yes,36.51,pallet,West,AZ,delivered,No
ORD-0016,2025-12-11,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-DFW,UPS Ground,1Z556964059627835,2025-12-13,2025-12-18,2025-12-18,Yes,70.89,flat_box,Southeast,NC,in_transit,No
ORD-0017,2026-01-23,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-DFW,UPS Ground,1Z327418677253024,2026-01-26,2026-02-04,2026-02-05,No,67.81,flat_box,Midwest,MN,delivered,No
ORD-0018,2026-01-03,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z453424629327891,2026-01-04,2026-01-14,2026-01-18,No,19.53,double_wall_box,Northeast,PA,delivered,Yes
ORD-0019,2026-02-24,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-LAX,UPS Ground,1Z383508752216787,2026-02-25,2026-03-01,2026-03-03,No,69.14,pallet,Southeast,GA,in_transit,No
ORD-0020,2025-12-22,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ORD,FedEx Freight,1Z297203882158537,2025-12-24,2025-12-30,2025-12-31,No,34.79,flat_box,Midwest,WI,delivered,No
ORD-0021,2026-01-17,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-JFK,UPS Ground,1Z868693811284519,2026-01-19,2026-01-23,2026-01-23,Yes,60.02,flat_box,West,NV,delivered,No
ORD-0022,2026-01-03,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z877638423495098,2026-01-06,2026-01-09,2026-01-13,No,74.94,double_wall_box,Midwest,IL,delivered,No
ORD-0023,2026-01-17,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ORD,FedEx Freight,1Z542454477345850,2026-01-18,2026-01-28,2026-01-29,No,18.61,pallet,Midwest,IL,delivered,Yes
ORD-0024,2026-01-05,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-DFW,UPS Ground,1Z190180854697987,2026-01-07,2026-01-16,2026-01-20,No,20.61,pallet,Southwest,UT,delivered,No
ORD-0025,2026-01-21,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-LAX,UPS Ground,1Z716687782908426,2026-01-22,2026-01-30,2026-01-31,No,64.36,double_wall_box,Southwest,CO,exception,No
ORD-0026,2025-12-15,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-LAX,FedEx Freight,1Z444016694019665,2025-12-18,2025-12-23,2025-12-21,Yes,48.85,pallet,Southwest,UT,delivered,Yes
ORD-0027,2025-12-08,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-DFW,UPS Ground,1Z638590838052758,2025-12-11,2025-12-20,2025-12-24,No,90.34,double_wall_box,Northeast,PA,out_for_delivery,No
ORD-0028,2026-02-01,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z742204488184630,2026-02-03,2026-02-08,2026-02-09,No,85.48,flat_box,Southwest,TX,delivered,Yes
ORD-0029,2026-02-21,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-LAX,FedEx Freight,1Z775982449876064,2026-02-24,2026-03-01,2026-02-27,Yes,48.88,pallet,Southeast,GA,out_for_delivery,Yes
ORD-0030,2025-12-25,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-JFK,UPS Ground,1Z656364366722353,2025-12-28,2026-01-06,2026-01-10,No,88.84,flat_box,West,CA,delivered,No
ORD-0031,2026-03-10,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z418595623517533,2026-03-12,2026-03-18,2026-03-20,No,34.6,double_wall_box,Southeast,VA,delivered,No
ORD-0032,2026-02-21,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-DFW,UPS Ground,1Z828721450082476,2026-02-22,2026-03-04,2026-03-03,Yes,46.46,pallet,West,OR,in_transit,Yes
