promo_id,sku,product_name,tier,channel,base_price_usd,promo_price_usd,discount_pct,promo_type,promo_start_date,promo_end_date,units_sold_promo,units_sold_baseline,revenue_promo_usd,margin_pct,competitor_price_usd,price_index,elasticity_score,promo_roi_pct
PROMO-0001,EP-200,ErgoPro 200,Entry,direct,349.0,304.68,12.7,percent_off,2025-12-08,2025-12-27,291,62,88661.88,51.4,300.89,1.013,-1.54,73.1
PROMO-0002,EP-200,ErgoPro 200,Entry,affiliate,349.0,326.66,6.4,fixed_off,2026-02-15,2026-03-03,74,121,24172.84,30.8,364.68,0.896,-1.89,124.5
PROMO-0003,EP-900,ErgoPro 900,Premium,email,999.0,946.05,5.3,fixed_off,2025-12-25,2026-01-06,284,98,268678.2,40.6,1112.08,0.851,-0.75,156.0
PROMO-0004,EP-900,ErgoPro 900,Premium,affiliate,999.0,727.27,27.2,flash,2026-02-13,2026-02-28,45,95,32727.15,47.4,907.88,0.801,-0.97,84.3
PROMO-0005,EP-900,ErgoPro 900,Premium,affiliate,999.0,859.14,14.0,percent_off,2026-02-03,2026-02-28,285,52,244854.9,36.8,901.14,0.953,-1.69,86.7
PROMO-0006,EP-200,ErgoPro 200,Entry,organic_search,349.0,256.51,26.5,flash,2026-01-22,2026-02-03,36,72,9234.36,29.1,330.01,0.777,-0.65,125.7
PROMO-0007,EP-900,ErgoPro 900,Premium,direct,999.0,844.15,15.5,bundle,2025-12-22,2025-12-31,194,73,163765.1,38.0,1087.03,0.777,-1.89,117.9
PROMO-0008,EP-200,ErgoPro 200,Entry,email,349.0,315.85,9.5,bundle,2025-11-02,2025-11-18,294,21,92859.9,50.9,288.82,1.094,-1.94,76.8
PROMO-0009,EP-500,ErgoPro 500,Mid,social,649.0,584.1,10.0,fixed_off,2025-11-27,2025-12-22,318,87,185743.8,45.7,582.17,1.003,-0.78,93.8
PROMO-0010,EP-200,ErgoPro 200,Entry,organic_search,349.0,318.29,8.8,bogo,2026-02-27,2026-03-16,239,16,76071.31,33.6,327.56,0.972,-0.57,128.2
PROMO-0011,EP-200,ErgoPro 200,Entry,email,349.0,313.75,10.1,percent_off,2026-01-24,2026-02-22,151,117,47376.25,39.8,287.56,1.091,-2.02,34.0
PROMO-0012,EP-900,ErgoPro 900,Premium,paid_search,999.0,846.15,15.3,bogo,2026-02-05,2026-02-28,220,127,186153.0,51.4,833.13,1.016,-1.97,97.9
PROMO-0013,EP-500,ErgoPro 500,Mid,affiliate,649.0,508.82,21.6,bundle,2025-11-21,2025-12-20,96,70,48846.72,35.0,740.1,0.688,-1.53,41.7
PROMO-0014,EP-200,ErgoPro 200,Entry,social,349.0,249.19,28.6,percent_off,2025-11-02,2025-11-19,99,37,24669.81,31.7,302.15,0.825,-1.14,173.3
PROMO-0015,EP-200,ErgoPro 200,Entry,affiliate,349.0,292.11,16.3,flash,2025-12-14,2026-01-12,267,77,77993.37,48.5,291.82,1.001,-2.03,148.8
PROMO-0016,EP-500,ErgoPro 500,Mid,email,649.0,592.54,8.7,bundle,2026-02-17,2026-03-17,394,73,233460.76,51.2,622.07,0.953,-0.62,23.0
