research_id,date,competitor_brand,product_name,category,msrp_usd,sale_price_usd,rating_avg,review_count,key_feature_1,key_feature_2,key_feature_3,weight_capacity_lbs,seat_height_range_in,warranty_years,assembly_time_min,in_stock,market_segment,yoy_sales_growth_pct
PR-0001,2026-02-24,Steelcase,Steelcase Ergonomic Chair 854,ergonomic,1099,852.41,4.5,4507,seat depth adjustment,headrest,memory foam seat,225,18-21,1,18,Yes,mid-market,3.6
PR-0002,2025-12-14,Uplift,Uplift Ergonomic Chair 325,ergonomic,799,688.98,3.7,93,headrest,memory foam seat,ergonomic lumbar,250,18-21,3,50,Yes,mid-market,30.4
PR-0003,2026-01-02,Haworth,Haworth Ergonomic Chair 718,ergonomic,349,284.83,3.3,3803,4D armrests,adjustable armrests,tilt tension,350,16-21,1,85,Yes,premium,16.4
PR-0004,2026-01-31,Steelcase,Steelcase Ergonomic Chair 203,ergonomic,999,844.19,4.0,3028,headrest,seat depth adjustment,adjustable armrests,250,17-21,2,49,Yes,mid-market,14.8
PR-0005,2026-02-03,Autonomous,Autonomous Executive Chair 801,executive,699,580.92,4.5,498,4D armrests,seat depth adjustment,ergonomic lumbar,250,16-21,5,49,Yes,mid-market,28.8
PR-0006,2025-12-20,Uplift,Uplift Saddle Chair 758,saddle,549,474.73,3.7,2060,headrest,memory foam seat,forward tilt,350,18-21,12,89,No,luxury,8.4
PR-0007,2026-02-20,Branch,Branch Kneeling Chair 742,kneeling,699,552.21,4.4,560,adjustable armrests,lumbar support,aluminum base,300,17-22,5,82,Yes,budget,20.2
PR-0008,2026-03-03,Steelcase,Steelcase Saddle Chair 400,saddle,799,686.09,4.0,2197,seat depth adjustment,memory foam seat,tilt tension,350,16-22,1,53,Yes,mid-market,8.8
PR-0009,2026-01-08,Branch,Branch Kneeling Chair 600,kneeling,1199,905.09,4.8,2559,ergonomic lumbar,lumbar support,breathable fabric,250,16-20,10,25,Yes,luxury,25.2
PR-0010,2026-02-17,Flexispot,Flexispot Executive Chair 371,executive,399,351.89,4.2,1775,memory foam seat,forward tilt,ergonomic lumbar,350,18-22,2,54,No,premium,11.2
PR-0011,2026-01-04,Flexispot,Flexispot Task Chair 121,task,349,313.08,3.6,1844,headrest,aluminum base,adjustable armrests,225,16-22,12,22,Yes,budget,28.5
PR-0012,2026-02-05,Haworth,Haworth Ergonomic Chair 652,ergonomic,799,625.68,4.8,4717,headrest,seat depth adjustment,forward tilt,350,17-20,5,67,Yes,budget,-1.4
PR-0013,2025-10-10,Knoll,Knoll Gaming Chair 769,gaming,649,646.43,3.4,3338,4D armrests,forward tilt,lumbar support,275,16-20,2,39,No,mid-market,10.6
PR-0014,2026-03-06,Humanscale,Humanscale Task Chair 151,task,449,409.95,4.1,160,adjustable armrests,forward tilt,ergonomic lumbar,225,16-20,5,77,No,mid-market,27.0
PR-0015,2025-12-05,Herman Miller,Herman Miller Executive Chair 392,executive,649,555.38,4.8,4592,lumbar support,4D armrests,seat depth adjustment,300,16-20,3,42,Yes,budget,22.7
PR-0016,2026-02-19,Herman Miller,Herman Miller Ergonomic Chair 158,ergonomic,899,890.19,3.3,1562,forward tilt,ergonomic lumbar,memory foam seat,225,18-20,12,45,No,budget,29.8
PR-0017,2026-03-11,Uplift,Uplift Executive Chair 529,executive,899,821.99,4.2,2631,breathable fabric,lumbar support,aluminum base,275,16-22,12,55,Yes,premium,9.6
PR-0018,2025-10-23,Humanscale,Humanscale Task Chair 676,task,549,548.46,3.3,1786,adjustable armrests,lumbar support,forward tilt,350,17-20,3,23,Yes,premium,5.5
PR-0019,2026-03-29,Secretlab,Secretlab Kneeling Chair 783,kneeling,1099,1048.75,3.7,888,seat depth adjustment,breathable fabric,ergonomic lumbar,250,17-20,1,85,Yes,premium,5.4
PR-0020,2025-11-22,Autonomous,Autonomous Saddle Chair 600,saddle,549,446.22,4.7,456,headrest,memory foam seat,seat depth adjustment,225,18-21,3,20,Yes,premium,23.5
PR-0021,2025-11-08,Humanscale,Humanscale Executive Chair 109,executive,1099,854.99,4.8,1261,forward tilt,ergonomic lumbar,4D armrests,350,16-21,10,85,Yes,luxury,-0.3
PR-0022,2025-10-08,Humanscale,Humanscale Gaming Chair 355,gaming,1199,1099.16,3.8,4626,lumbar support,tilt tension,headrest,300,18-22,2,45,Yes,mid-market,27.6
PR-0023,2026-01-22,Herman Miller,Herman Miller Executive Chair 263,executive,1099,1040.58,3.4,357,tilt tension,4D armrests,headrest,300,16-20,5,59,Yes,mid-market,3.2
PR-0024,2026-01-01,Autonomous,Autonomous Task Chair 756,task,549,481.67,4.4,4432,seat depth adjustment,adjustable armrests,aluminum base,275,16-20,3,37,Yes,budget,-1.0
PR-0025,2025-11-21,Knoll,Knoll Gaming Chair 218,gaming,1099,930.08,4.2,2126,tilt tension,4D armrests,breathable fabric,225,18-21,1,81,Yes,premium,11.0
PR-0026,2025-11-22,Haworth,Haworth Kneeling Chair 416,kneeling,549,503.28,3.8,2462,memory foam seat,adjustable armrests,seat depth adjustment,350,16-20,5,63,Yes,premium,10.0
