copy_id,sku,product_name,tier,copy_format,tone,channel,headline,body_copy,cta,word_count,char_count,ab_variant,click_through_rate_pct,conversion_rate_pct,engagement_score,approved,reviewed_by
COPY-0001,EP-500,ErgoPro 500,Mid,bullet_feature,friendly,paid_search,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 500. Featuring aluminum base and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Get Yours,29,187,C,5.97,2.33,13.37,Yes,Marcus T.
COPY-0002,EP-200,ErgoPro 200,Entry,meta_description,technical,direct,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 200. Featuring tilt tension and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 17 to 20 inches.",Shop Now,29,186,C,5.93,2.69,14.97,Yes,Lin C.
COPY-0003,EP-900,ErgoPro 900,Premium,ad_headline,technical,email,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring lumbar support and memory foam seat, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Buy Today,30,192,A,5.75,3.9,26.11,Yes,Lin C.
COPY-0004,EP-900,ErgoPro 900,Premium,banner_copy,professional,paid_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring forward tilt and lumbar support, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Get Yours,29,188,A,1.84,2.3,4.45,Yes,Marcus T.
COPY-0005,EP-900,ErgoPro 900,Premium,social_caption,technical,affiliate,Your back will thank you,"Experience all-day comfort with the ErgoPro 900. Featuring adjustable armrests and headrest, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Learn More,28,189,A,5.54,3.14,17.11,Yes,Sarah K.
COPY-0006,EP-200,ErgoPro 200,Entry,bullet_feature,aspirational,social,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring lumbar support and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",See Details,29,189,C,1.18,3.44,3.9,Yes,Sarah K.
COPY-0007,EP-500,ErgoPro 500,Mid,bullet_feature,friendly,organic_search,Your back will thank you,"Experience all-day comfort with the ErgoPro 500. Featuring ergonomic lumbar and lumbar support, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Buy Today,29,192,C,4.14,3.2,11.16,Yes,Lin C.
COPY-0008,EP-200,ErgoPro 200,Entry,email_subject,casual,paid_search,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring forward tilt and 4D armrests, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Get Yours,29,185,B,0.97,0.98,1.13,Yes,Priya N.
COPY-0009,EP-900,ErgoPro 900,Premium,meta_description,friendly,social,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring lumbar support and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Get Yours,29,192,A,1.47,0.42,0.57,Yes,Marcus T.
COPY-0010,EP-500,ErgoPro 500,Mid,short_description,casual,affiliate,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 500. Featuring mesh backrest and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Shop Now,29,188,C,5.31,1.12,5.86,Pending,Sarah K.
