attribution_id,session_id,user_id,visit_timestamp,channel,utm_source,utm_medium,utm_campaign,utm_content,utm_term,landing_page,sku_viewed,device_type,region,sessions,pageviews,bounce,converted,revenue_usd,cost_usd,roas,cpc_usd,ctr_pct,impression_share_pct,attribution_model
ATT-00001,5acf53963b4b4c,U509533,2025-11-07 10:22:22,direct,(direct),(none),(none),hero_banner,ergonomic chair,/products/ergo-pro-200,ErgoPro 500,mobile,Southwest,1,5,No,No,0,0,0,0,3.93,59.8,first_click
ATT-00002,fc0e69b6f87642,U910376,2025-11-12 23:39:17,email,klaviyo,email,launch_announcement,carousel_ad,,/about,ErgoPro 500,tablet,Southeast,1,4,No,No,0,1.2,0,0,2.63,17.4,linear
ATT-00003,bd4842058dc844,U438158,2026-01-13 02:02:45,organic_search,bing,organic,(none),text_ad,,/about,ErgoPro 500,mobile,West,1,6,No,Yes,649,0,0,0,6.49,34.7,linear
ATT-00004,7bc295ad5f7f41,U937356,2025-10-22 00:41:41,email,mailchimp,email,launch_announcement,carousel_ad,ergonomic chair,/compare,ErgoPro 500,mobile,West,1,3,No,No,0,1.92,0,0,2.55,26.8,linear
ATT-00005,a82c92a6a64e4e,U573955,2026-03-04 08:31:19,referral,wirecutter.com,referral,(none),reel,ergonomic chair,/blog/best-ergonomic-chairs-2026,ErgoPro 500,tablet,Midwest,1,8,Yes,No,0,0,0,0,2.28,14.8,linear
ATT-00006,e6b0165f85f345,U553199,2025-10-15 11:08:20,email,mailchimp,email,launch_announcement,,lumbar support chair,/blog/best-ergonomic-chairs-2026,ErgoPro 200,mobile,West,1,8,Yes,No,0,0.38,0,0,3.28,62.4,last_click
ATT-00007,8ff3f23977814f,U238018,2026-02-09 23:33:29,social,tiktok,social,ugc_repost,hero_banner,ergonomic chair,/about,ErgoPro 500,desktop,West,1,8,No,No,0,1.21,0,0,5.38,12.3,time_decay
ATT-00008,784a3ab20f5844,U735343,2026-01-16 17:32:10,social,facebook,social,influencer_collab,story_ad,ergonomic chair,/blog,ErgoPro 500,desktop,Southeast,1,4,Yes,No,0,1.06,0,0,3.31,20.5,first_click
ATT-00009,87833714f00846,U342667,2025-12-21 06:02:41,paid_search,bing_ads,cpc,ergo_chair_brand,reel,ergo chair,/blog,ErgoPro 500,mobile,Southwest,1,6,No,No,0,3.93,0,0.79,4.92,82.8,first_click
ATT-00010,dd90529130034a,U734773,2026-01-19 12:05:53,direct,(direct),(none),(none),carousel_ad,ergonomic chair,/compare,ErgoPro 200,desktop,West,1,3,No,No,0,0,0,0,2.11,60.9,first_click
ATT-00011,88ba59de1b7647,U685557,2025-11-14 22:56:47,organic_search,google,organic,(none),hero_banner,ergo chair,/products/ergo-pro-500,ErgoPro 500,mobile,Southeast,1,3,No,No,0,0,0,0,1.04,68.4,time_decay
ATT-00012,661a334ce08349,U523246,2025-11-19 12:14:11,social,tiktok,social,product_demo,html_email,ergonomic chair,/blog/how-to-set-up-your-home-office,ErgoPro 500,mobile,Northeast,1,2,Yes,No,0,0.56,0,0,4.84,69.7,first_click
ATT-00013,bf26d7401fdd45,U886712,2026-03-10 13:15:19,paid_search,bing_ads,cpc,ergo_chair_generic,story_ad,lumbar support chair,/blog,ErgoPro 200,tablet,Southeast,1,1,Yes,No,0,1.2,0,0.3,2.03,44.1,time_decay
ATT-00014,d0ecdfe742574c,U165179,2025-11-02 19:47:17,organic_search,google,organic,(none),html_email,,/blog/how-to-set-up-your-home-office,ErgoPro 500,desktop,West,1,7,Yes,No,0,0,0,0,4.47,74.9,first_click
ATT-00015,100978ce880341,U225912,2025-11-04 23:34:34,referral,wirecutter.com,referral,(none),carousel_ad,,/compare,ErgoPro 500,desktop,West,1,8,No,No,0,0,0,0,5.44,11.1,linear
ATT-00016,957fd7ff884a48,U197042,2025-11-09 19:48:25,paid_search,bing_ads,cpc,competitor_conquest,,,/about,ErgoPro 500,desktop,Midwest,1,4,No,No,0,1.32,0,0.33,4.03,39.0,linear
ATT-00017,4d7e7adf250f4a,U945734,2025-10-21 13:26:59,social,linkedin,social,launch_reel,hero_banner,office chair,/,ErgoPro 200,desktop,Southwest,1,8,Yes,No,0,1.04,0,0,6.24,41.8,linear
ATT-00018,8bda5c827d2045,U820869,2025-12-28 15:02:51,organic_search,google,organic,(none),text_ad,ergonomic chair,/blog/best-ergonomic-chairs-2026,ErgoPro 500,mobile,Northeast,1,6,No,No,0,0,0,0,4.59,26.1,data_driven
ATT-00019,09f014b3afad4a,U922534,2026-01-18 17:13:29,email,mailchimp,email,weekly_newsletter,text_ad,ergonomic chair,/products/ergo-pro-200,ErgoPro 500,desktop,West,1,6,Yes,No,0,0.36,0,0,6.46,28.2,first_click
ATT-00020,5bc4be1cc40e46,U389399,2026-02-05 21:41:37,organic_search,google,organic,(none),,best chair,/blog,ErgoPro 500,desktop,Southeast,1,8,Yes,No,0,0,0,0,5.07,58.3,data_driven
ATT-00021,5e42b2efc9064a,U388605,2026-01-22 08:57:11,organic_search,bing,organic,(none),carousel_ad,,/about,ErgoPro 200,desktop,Southwest,1,6,No,No,0,0,0,0,3.71,72.5,first_click
ATT-00022,56f6d4f2437c4e,U608165,2026-03-30 20:09:02,direct,(direct),(none),(none),carousel_ad,ergo chair,/compare,ErgoPro 500,mobile,Southeast,1,8,No,No,0,0,0,0,1.94,68.9,data_driven
ATT-00023,1682962c49ee4e,U550695,2025-11-04 17:47:46,paid_search,bing_ads,cpc,ergo_chair_generic,html_email,ergo chair,/products/ergo-pro-900,ErgoPro 500,mobile,Midwest,1,2,No,No,0,4.88,0,2.44,1.03,83.8,time_decay
ATT-00024,75a31acc22a849,U109682,2026-02-22 17:19:19,social,facebook,social,launch_reel,hero_banner,,/blog/best-ergonomic-chairs-2026,ErgoPro 500,mobile,Northeast,1,2,No,No,0,1.85,0,0,3.04,23.0,last_click
ATT-00025,d9cc7e8d1d974d,U230317,2025-12-11 06:06:40,organic_search,google,organic,(none),reel,office chair,/products/ergo-pro-900,ErgoPro 500,mobile,Southeast,1,8,No,No,0,0,0,0,4.53,79.5,last_click
ATT-00026,70cc2d886faf4a,U133060,2026-02-20 07:17:09,email,klaviyo,email,vip_early_access,text_ad,,/compare,ErgoPro 900,desktop,Southwest,1,6,No,No,0,1.18,0,0,1.86,19.7,last_click
ATT-00027,04dd16a348f941,U425327,2025-12-06 00:10:12,affiliate,shareasale,affiliate,launch_promo,,ergonomic chair,/products/ergo-pro-200,ErgoPro 900,tablet,Northeast,1,8,No,No,0,0.78,0,0,2.48,50.2,last_click
ATT-00028,64c73adee2c14e,U909761,2025-12-08 12:00:25,paid_search,google_ads,cpc,ergo_chair_generic,text_ad,,/products,ErgoPro 200,desktop,Northeast,1,6,No,No,0,1.09,0,0.55,6.38,11.1,time_decay
ATT-00029,245e893b5e544d,U686870,2025-10-21 10:17:27,organic_search,bing,organic,(none),,,/blog/how-to-set-up-your-home-office,ErgoPro 500,desktop,Southwest,1,5,No,No,0,0,0,0,2.34,56.0,last_click
ATT-00030,503ec5ab8b5b4c,U402276,2025-12-29 12:03:53,social,instagram,social,influencer_collab,text_ad,best chair,/products/ergo-pro-200,ErgoPro 900,desktop,West,1,3,Yes,No,0,1.83,0,0,5.28,64.2,time_decay
ATT-00031,94737381faa24c,U995458,2026-03-31 09:03:02,email,mailchimp,email,vip_early_access,,ergonomic chair,/compare,ErgoPro 200,desktop,Southeast,1,7,No,No,0,1.45,0,0,4.0,81.6,first_click
ATT-00032,44020c1ddf674e,U102110,2026-03-28 11:54:48,direct,(direct),(none),(none),html_email,,/products/ergo-pro-900,ErgoPro 200,mobile,Southwest,1,3,No,No,0,0,0,0,1.47,34.6,last_click
ATT-00033,42ab7e5e97ac47,U546748,2026-03-28 17:47:21,referral,rtings.com,referral,(none),hero_banner,ergonomic chair,/products/ergo-pro-500,ErgoPro 500,desktop,Southeast,1,7,No,No,0,0,0,0,6.5,46.0,data_driven
ATT-00034,5392c8be4ce749,U686747,2025-12-29 05:36:04,email,klaviyo,email,launch_announcement,,,/products/ergo-pro-200,ErgoPro 200,tablet,Southeast,1,7,No,No,0,1.45,0,0,3.65,30.2,linear
ATT-00035,f0c558c9a0c644,U425490,2026-01-07 23:06:42,paid_search,bing_ads,cpc,competitor_conquest,story_ad,,/,ErgoPro 500,desktop,West,1,3,No,No,0,7.35,0,1.84,3.52,12.2,data_driven
ATT-00036,bdb30a611f8441,U403700,2025-10-18 16:37:44,social,facebook,social,launch_reel,reel,office chair,/products/ergo-pro-900,ErgoPro 900,tablet,Southeast,1,1,No,No,0,1.49,0,0,5.78,31.0,first_click
ATT-00037,4b9e0b88047940,U391549,2025-12-15 19:03:07,social,linkedin,social,launch_reel,,lumbar support chair,/products,ErgoPro 200,tablet,Southeast,1,2,No,No,0,1.67,0,0,4.11,38.6,data_driven
ATT-00038,42d21593ca4b40,U131050,2025-11-20 21:05:43,organic_search,google,organic,(none),plain_text_email,best chair,/about,ErgoPro 200,desktop,Midwest,1,6,Yes,No,0,0,0,0,4.75,15.5,time_decay
ATT-00039,ebd77edce41e4e,U803008,2026-01-13 13:24:33,direct,(direct),(none),(none),hero_banner,lumbar support chair,/blog/best-ergonomic-chairs-2026,ErgoPro 900,desktop,Southeast,1,2,Yes,Yes,2997,0,0,0,5.15,61.3,last_click
ATT-00040,1a40ab9a57f64c,U683735,2025-11-21 16:10:11,organic_search,bing,organic,(none),,ergonomic chair,/products/ergo-pro-500,ErgoPro 900,desktop,Midwest,1,2,No,No,0,0,0,0,2.28,55.2,last_click
ATT-00041,22b48c42d29e4e,U815096,2026-02-14 03:11:51,organic_search,google,organic,(none),plain_text_email,ergonomic chair,/,ErgoPro 500,desktop,Northeast,1,6,Yes,No,0,0,0,0,1.94,29.6,first_click
ATT-00042,e611dfec79e44f,U949352,2025-10-03 23:47:04,paid_search,bing_ads,cpc,competitor_conquest,story_ad,lumbar support chair,/products/ergo-pro-500,ErgoPro 200,desktop,Southeast,1,8,Yes,No,0,0.59,0,0.15,3.32,68.7,first_click
ATT-00043,e971bdcaaa614c,U468815,2025-12-04 06:21:57,affiliate,shareasale,affiliate,launch_promo,reel,ergonomic chair,/,ErgoPro 900,mobile,West,1,1,No,No,0,1.97,0,0,3.32,45.9,first_click
ATT-00044,0233d1a291aa40,U926179,2025-10-28 19:45:42,organic_search,google,organic,(none),carousel_ad,,/blog,ErgoPro 500,mobile,Northeast,1,2,Yes,No,0,0,0,0,1.25,65.8,time_decay
ATT-00045,9166faa1418943,U599317,2025-11-17 04:59:54,direct,(direct),(none),(none),text_ad,ergo chair,/blog/best-ergonomic-chairs-2026,ErgoPro 200,tablet,Southwest,1,7,Yes,No,0,0,0,0,2.8,65.2,time_decay
ATT-00046,1751e6fe1edb4b,U244666,2026-03-29 16:28:53,email,klaviyo,email,launch_announcement,story_ad,office chair,/products/ergo-pro-900,ErgoPro 500,mobile,Midwest,1,3,Yes,No,0,0.88,0,0,4.42,13.3,last_click
ATT-00047,e2f382f12c254b,U503907,2026-03-09 04:26:45,paid_search,google_ads,cpc,ergo_chair_generic,plain_text_email,best chair,/products/ergo-pro-200,ErgoPro 900,mobile,Midwest,1,3,Yes,Yes,999,7.6,131.45,7.6,1.74,82.7,last_click
ATT-00048,3745618b780b4c,U419370,2026-03-29 06:08:45,email,mailchimp,email,abandoned_cart,reel,,/blog/best-ergonomic-chairs-2026,ErgoPro 500,mobile,Southeast,1,8,Yes,No,0,0.33,0,0,6.06,22.0,data_driven
ATT-00049,e9c801c10bb745,U764075,2025-11-10 13:40:17,affiliate,shareasale,affiliate,launch_promo,,best chair,/blog,ErgoPro 200,desktop,Midwest,1,8,No,No,0,1.09,0,0,4.54,43.4,time_decay
ATT-00050,486e13538bce41,U617713,2026-02-16 11:15:30,referral,wirecutter.com,referral,(none),html_email,,/products/ergo-pro-500,ErgoPro 500,desktop,West,1,7,No,No,0,0,0,0,4.21,73.4,linear
ATT-00051,ca928f7d224a49,U368805,2025-12-28 13:00:22,email,mailchimp,email,abandoned_cart,reel,ergo chair,/products/ergo-pro-500,ErgoPro 900,mobile,Northeast,1,7,No,No,0,1.71,0,0,4.37,53.9,time_decay
ATT-00052,031a37237ff641,U561717,2025-10-15 04:47:27,direct,(direct),(none),(none),hero_banner,,/,ErgoPro 200,desktop,Northeast,1,3,Yes,No,0,0,0,0,5.01,14.3,time_decay
ATT-00053,9b044f8cbb1246,U986548,2026-01-27 22:55:22,paid_search,google_ads,cpc,competitor_conquest,text_ad,best chair,/products/ergo-pro-500,ErgoPro 200,mobile,Midwest,1,8,No,No,0,7.33,0,7.33,1.52,75.2,last_click
ATT-00054,a7dfc7de2b6248,U434887,2025-12-09 16:10:53,social,linkedin,social,launch_reel,story_ad,office chair,/products/ergo-pro-500,ErgoPro 500,desktop,West,1,1,No,No,0,0.45,0,0,2.3,58.7,data_driven
